id,Latitude,Longitude,Target,Class1,Class2,Class3,Class2,Class3,available,total
174,40.738177,-73.977387,-4,23,23,23,23,23,6,30
223,40.737815,-73.999947,-3,23,23,13,23,13,18,33
236,40.728419,-73.98714,-6,23,83,83,83,83,2,39
252,40.732264,-73.998522,-8,23,23,83,23,83,18,33
254,40.735324,-73.998004,3,23,23,13,23,13,25,31
280,40.73332,-73.995101,14,23,83,13,83,13,29,31
280,40.73332,-73.995101,12,23,83,13,23,13,29,31
297,40.734232,-73.986923,6,23,83,23,83,23,21,27
325,40.736245,-73.984738,-18,23,83,23,83,23,6,35
326,40.729538,-73.984267,-16,23,83,83,83,83,2,27
334,40.742388,-73.997262,3,23,23,23,23,23,20,31
335,40.729039,-73.994046,9,23,83,83,83,83,25,27
357,40.732618,-73.99158,8,23,83,13,83,13,25,27
369,40.732241,-74.000264,-5,23,23,83,23,83,11,35
383,40.735238,-74.000271,-7,23,23,13,23,13,8,39
385,40.757973,-73.966033,10,23,23,23,23,23,26,29
448,40.756604,-73.997901,-2,23,83,23,83,23,2,31
453,40.744751,-73.999154,2,23,83,23,83,23,7,39
466,40.743954,-73.991449,4,23,23,23,23,23,23,35
470,40.743453,-74.00004,6,23,83,23,83,23,21,37
478,40.760301,-73.998842,-17,23,0,0,83,23,0,31
478,40.760301,-73.998842,-12,23,0,0,23,23,0,31
482,40.739355,-73.999318,3,23,23,13,23,13,15,39
487,40.733143,-73.975739,-6,23,23,23,23,23,4,36
498,40.748549,-73.988084,6,23,83,23,83,23,26,30
503,40.738274,-73.98752,4,23,83,23,83,23,26,29
516,40.752069,-73.967844,6,23,23,23,23,23,26,31
529,40.75757,-73.990985,-6,23,23,23,23,23,12,41
536,40.741444,-73.975361,10,23,23,23,23,23,27,29
3255,40.750585,-73.994685,-2,23,23,23,23,23,10,19
3259,40.74937,-73.999234,-2,23,23,23,23,23,16,27
3431,40.759681,-73.970314,6,23,23,23,23,23,24,26
