id,Latitude,Longitude,Target,Class1,Class2,Class2,Class2,Class2,available,total
265,40.72229346,-73.99147535,-8,23,83,83,23,83,0,35
266,40.72368361,-73.97574813,-6,23,83,83,23,83,0,24
268,40.71910537,-73.99973337,2,23,23,23,23,23,27,27
280,40.73331967,-73.99510132,3,23,23,23,23,23,26,31
284,40.73901691,-74.00263761,-6,23,23,23,23,23,20,43
285,40.73454567,-73.99074142,1,23,83,83,23,83,43,51
291,40.713126,-73.984844,-5,23,83,83,23,83,2,20
293,40.73020661,-73.99102628,19,23,0,0,23,23,50,55
293,40.73020661,-73.99102628,10,23,0,0,23,23,50,55
295,40.71406667,-73.99293911,-4,23,83,83,23,83,2,24
296,40.71413089,-73.9970468,-1,23,23,23,23,23,15,35
297,40.734232,-73.986923,-3,23,23,23,23,23,9,27
301,40.72217444,-73.98368779,-6,23,23,23,23,23,0,37
302,40.72082834,-73.97793172,-2,23,23,23,20,23,0,23
303,40.72362738,-73.99949601,3,23,83,83,23,83,25,31
306,40.70823502,-74.00530063,2,23,83,83,23,83,8,17
307,40.71427487,-73.98990025,-2,23,83,20,23,20,1,31
308,40.71307916,-73.99851193,3,23,83,83,23,83,7,27
311,40.7172274,-73.98802084,-6,23,23,23,23,23,0,31
312,40.722055,-73.989111,-2,23,83,20,23,20,0,31
317,40.72453734,-73.98185424,-1,23,83,83,20,83,0,27
320,40.717571,-74.005549,3,23,23,23,23,23,13,39
325,40.73624527,-73.98473765,4,23,23,23,23,23,21,35
326,40.72953837,-73.98426726,-3,23,23,23,23,23,0,27
330,40.71450451,-74.00562789,2,23,23,23,23,23,36,39
331,40.71173107,-73.99193043,2,23,23,23,23,23,7,27
332,40.71219906,-73.97948148,-3,23,23,23,20,23,2,24
335,40.72903917,-73.99404649,4,23,23,23,23,23,24,27
336,40.73047747,-73.99906065,-3,23,23,23,23,23,8,36
339,40.72580614,-73.97422494,-4,23,23,23,23,23,0,24
340,40.71269042,-73.98776323,-5,23,23,23,23,23,1,27
341,40.71782143,-73.97628939,-6,23,23,23,20,23,1,19
342,40.71739973,-73.98016555,-13,23,0,0,20,23,0,29
345,40.73649403,-73.99704374,5,23,23,23,23,23,28,35
346,40.73652889,-74.00618026,-6,23,23,23,23,23,0,27
257,40.71939226,-74.00247214,8,23,23,23,23,23,38,39
