id,Latitude,Longitude,Target,Class1,Class2,Class3,Class2,Class3,available,total
312,40.722055,-73.989111,-6,23,20,20,20,20,1,31
317,40.72453734,-73.98185424,-4,23,23,21,23,21,13,27
326,40.72953837,-73.98426726,7,23,23,23,23,23,18,27
335,40.72903917,-73.99404649,8,23,23,23,23,23,23,27
357,40.73261787,-73.99158043,4,23,23,23,23,23,16,27
393,40.72299208,-73.97995466,10,23,20,21,23,21,23,31
394,40.72521311,-73.97768752,9,23,20,21,23,21,21,32
2003,40.73381219,-73.98054421,10,23,23,23,23,23,28,39
403,40.72502876,-73.99069656,-8,23,20,20,20,20,6,31
410,40.72066442,-73.98517977,9,23,23,23,20,23,12,35
428,40.72467721,-73.98783413,-8,23,23,23,20,23,1,31
432,40.72621788,-73.98379855,3,23,23,23,23,23,9,29
433,40.72955361,-73.98057249,9,23,23,23,23,23,13,39
438,40.72779126,-73.98564945,-7,23,20,23,23,23,2,31
439,40.7262807,-73.98978041,-24,23,0,0,23,23,2,39
439,40.7262807,-73.98978041,-8,23,0,0,23,23,2,39
445,40.72740794,-73.98142006,-6,23,23,23,23,23,26,42
473,40.72110063,-73.9919254,-3,23,20,20,20,20,19,38
483,40.73223272,-73.98889957,-7,23,23,23,23,23,0,35
504,40.73221853,-73.98165557,16,23,0,0,23,23,33,45
2003,40.73381219,-73.98054421,4,23,23,23,23,23,28,39
