id,Latitude,Longitude,Target,Class1,Class2,Class3,Class2,Class2,available,total
116,40.741776,-74.001497,13,23,0,0,23,23,28,39
116,40.741776,-74.001497,13,23,0,0,23,23,28,39
127,40.731724,-74.006744,4,23,23,23,23,23,24,31
161,40.72917,-73.998102,-2,23,23,23,23,23,25,35
161,40.72917,-73.998102,-6,23,23,23,23,23,25,35
229,40.727434,-73.99379,-4,23,23,23,23,23,10,23
247,40.735354,-74.004831,3,23,23,23,23,23,15,20
251,40.72318,-73.9948,-3,23,23,23,23,23,19,27
254,40.735324,-73.998004,2,23,23,23,23,23,28,31
410,40.72066442,-73.98517977,-9,23,83,23,83,83,1,35
265,40.722293,-73.991475,8,23,23,23,83,23,28,35
280,40.73332,-73.995101,2,23,23,23,23,23,27,31
285,40.734546,-73.990741,5,23,83,23,23,23,29,51
297,40.734232,-73.986923,5,23,83,23,23,23,27,27
312,40.722055,-73.989111,3,23,23,23,83,83,27,31
334,40.742388,-73.997262,-9,23,23,23,23,23,13,31
483,40.73223272,-73.98889957,-8,23,23,23,23,23,8,35
335,40.729039,-73.994046,-3,23,23,23,23,23,8,27
346,40.736529,-74.00618,5,23,23,23,23,23,25,27
357,40.732618,-73.99158,5,23,23,23,23,23,23,27
358,40.732916,-74.007114,-3,23,23,23,23,23,30,36
405,40.739323,-74.008119,3,23,23,23,23,23,25,40
428,40.724677,-73.987834,2,23,83,23,83,20,27,31
438,40.727791,-73.985649,3,23,83,23,83,20,30,31
442,40.746647,-73.993915,3,23,23,23,23,23,23,51
448,40.756604,-73.997901,-1,23,23,23,23,23,26,31
462,40.74692,-74.004519,-2,23,23,23,23,23,24,47
486,40.746201,-73.988557,-9,23,23,23,23,23,4,39
498,40.748549,-73.988084,6,23,23,23,23,23,30,30
526,40.747659,-73.984907,-8,23,23,23,23,23,10,39
3224,40.739974,-74.005139,-3,23,23,23,23,23,10,39
3244,40.731437,-73.994903,4,23,23,23,23,23,29,31
3255,40.750585,-73.994685,2,23,23,23,23,23,17,19
3256,40.727714,-74.011296,-4,23,23,23,23,23,11,22
3427,40.759681,-73.970314,2,23,23,23,23,23,28,40
3428,40.759681,-73.970314,3,23,23,23,23,23,14,25
