id,Latitude,Longitude,Target,Class1,Class2,Class3,Class2,Class2,available,total
3427,40.72430527,-73.99600983,1,23,83,20,83,20,18,40
3435,40.718822,-73.99596,3,23,23,83,23,83,5,45
280,40.73331967,-73.99510132,4,23,23,23,23,23,12,31
3244,40.73143724,-73.99490342,-2,23,23,23,23,23,20,31
251,40.72317958,-73.99480012,5,23,83,20,83,20,14,27
168,40.73971301,-73.99456405,-18,23,0,0,23,23,9,47
168,40.73971301,-73.99456405,-12,23,0,0,83,23,9,47
253,40.73543934,-73.99453948,23,23,0,0,23,23,42,55
412,40.7158155,-73.99422366,-6,23,83,83,83,83,10,29
335,40.72903917,-73.99404649,3,23,23,23,23,23,23,27
408,40.71076228,-73.99400398,3,23,83,83,83,83,3,23
229,40.72743423,-73.99379025,-4,23,23,23,23,23,10,23
295,40.71406667,-73.99293911,-5,23,83,83,83,83,3,24
531,40.71893904,-73.99266288,-9,23,83,20,83,20,10,39
496,40.73726186,-73.99238967,2,23,23,23,23,23,25,47
382,40.73492695,-73.99200509,-2,23,23,23,23,23,2,36
331,40.71173107,-73.99193043,-1,23,83,83,83,83,13,27
473,40.72110063,-73.9919254,2,23,23,20,23,20,20,38
361,40.71605866,-73.99190759,6,23,83,83,83,83,22,43
357,40.73261787,-73.99158043,5,23,23,23,23,23,16,27
265,40.72229346,-73.99147535,4,23,83,20,83,20,12,35
3263,40.7292365,-73.99086803,3,23,23,23,23,23,14,59
293,40.73020661,-73.99102628,4,23,23,23,23,23,16,55
285,40.73454567,-73.99074142,-6,23,23,23,23,23,9,51
497,40.73704984,-73.99009296,-3,23,23,23,23,23,22,59
401,40.72019576,-73.98997825,4,23,23,20,23,20,17,42
