id,Latitude,Longitude,Target,Class1,Class2,Class3,Class4,available,total
312,40.722055,-73.989111,-6,25,23,23,23,1,31
317,40.72453734,-73.98185424,0,25,23,23,23,13,27
317,40.72453734,-73.98185424,-4,23,23,23,23,13,27
326,40.72953837,-73.98426726,7,23,23,23,23,18,27
335,40.72903917,-73.99404649,8,23,23,23,23,23,27
357,40.73261787,-73.99158043,4,23,23,23,23,16,27
403,40.72502876,-73.99069656,-8,23,23,23,23,6,31
410,40.72066442,-73.98517977,5,25,23,23,23,12,35
410,40.72066442,-73.98517977,1,23,23,23,23,12,35
428,40.72467721,-73.98783413,-8,23,23,23,23,1,31
432,40.72621788,-73.98379855,3,23,23,23,23,9,29
433,40.72955361,-73.98057249,9,23,23,23,23,13,39
438,40.72779126,-73.98564945,-7,23,23,23,23,2,31
439,40.7262807,-73.98978041,-6,25,23,23,23,2,39
439,40.7262807,-73.98978041,-12,23,23,23,23,2,39
445,40.72740794,-73.98142006,-6,23,23,23,23,26,42
473,40.72110063,-73.9919254,-3,23,23,23,23,19,38
483,40.73223272,-73.98889957,-18,23,23,23,23,0,35
504,40.73221853,-73.98165557,13,23,23,23,23,33,45
2003,40.73381219,-73.98054421,8,23,23,23,23,28,39
