id,Latitude,Longitude,Target,Class1,Class2,Class3,Class4,available,total
150,40.7208736,-73.98085795,1,25,23,23,23,12,31
150,40.7208736,-73.98085795,3,23,23,23,23,12,31
229,40.72743423,-73.99379025,-2,25,23,23,23,5,23
432,40.72621788,-73.98379855,-6,23,23,23,23,8,29
433,40.72955361,-73.98057249,-4,23,23,23,23,11,39
251,40.72317958,-73.99480012,4,25,23,23,23,15,27
265,40.72229346,-73.99147535,-4,25,23,23,23,12,35
280,40.73331967,-73.99510132,-5,25,23,23,23,14,31
285,40.73454567,-73.99074142,-19,23,23,23,23,10,51
285,40.73454567,-73.99074142,-10,25,23,23,23,10,51
297,40.734232,-73.986923,3,23,23,23,23,21,27
301,40.72217444,-73.98368779,0,23,23,23,23,12,37
301,40.72217444,-73.98368779,6,25,23,23,23,12,37
302,40.72082834,-73.97793172,4,23,23,23,23,16,23
312,40.722055,-73.989111,-6,25,23,23,23,10,31
317,40.72453734,-73.98185424,-4,23,23,23,23,13,27
326,40.72953837,-73.98426726,6,23,23,23,23,18,27
335,40.72903917,-73.99404649,3,25,23,23,23,23,27
357,40.73261787,-73.99158043,2,25,23,23,23,16,27
473,40.72110063,-73.9919254,-3,25,23,23,23,19,38
483,40.73223272,-73.98889957,-3,23,23,23,23,6,35
