id,Latitude,Longitude,Target,Class1,Class2,Class3,Class4,available,total
237,40.730473,-73.986724,9,25,23,83,23,23,39
237,40.730473,-73.986724,0,23,23,83,23,23,39
252,40.732264,-73.998522,6,23,23,23,23,23,33
254,40.735324,-73.998004,-6,23,23,23,23,23,31
297,40.734232,-73.986923,-4,25,23,13,23,21,27
325,40.736245,-73.984738,-10,23,23,23,23,13,35
335,40.729039,-73.994046,5,23,23,23,23,17,27
336,40.730477,-73.999061,3,23,23,23,23,21,36
357,40.732618,-73.99158,3,25,23,83,23,24,27
382,40.734927,-73.992005,-8,25,23,13,23,20,36
385,40.757973,-73.966033,2,23,23,23,23,22,29
402,40.740343,-73.989551,4,23,23,13,23,22,40
440,40.752554,-73.972826,3,23,23,23,23,13,32
453,40.744751,-73.999154,-10,23,23,23,23,16,39
455,40.75002,-73.969053,-12,23,23,23,23,22,39
472,40.745712,-73.981948,3,23,23,13,23,23,41
474,40.745168,-73.986831,9,23,23,13,23,23,39
478,40.760301,-73.998842,3,23,23,23,23,21,31
487,40.733143,-73.975739,-3,23,23,13,23,20,36
498,40.748549,-73.988084,6,23,23,23,23,23,30
